"order","cases","deaths","date","formattedDate","text","url","videoId"
"100","25","0","2020-03-09","9 de março","Tem a questão do coronavírus também que, no meu entender, está sendo superdimensionado o poder destruidor desse vírus.","","VTCHQkJqv3I"
"200","34","0","2020-03-10","10 de março","Obviamente, temos no momento uma crise, uma pequena crise... ou no meu entender muito mais fantasia.","","Ai742dM_tNA"
"300","52","0","2020-03-11","11 de março","Eu não sou médico, eu não sou infectologista. O que eu ouvi até o momento outras gripes mataram mais do que essa.","https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2020/03/11/bolsonaro-nao-sou-medico-pelo-que-ouvi-outras-gripes-mataram-mais.htm",""
"500","200","0","2020-03-15","15 de março","Com toda certeza há um interesse econômico envolvido nisso tudo... para que se chegue a esta histeria.","","DYJV4G5Oz1c"
"600","291","1","2020-03-17","17 de março","Não pode algumas autoridades começar a proibir isso ou aquilo... afinal de contas está havendo uma histeria.","","Mv36mZ_b3J0"
"700","420","4","2020-03-18","18 de março","Já tivemos problemas mais graves no passado, que não teve essa comoção toda, ou repercussão toda por parte da mídia brasileira.","","lhltNqinvm4"
"800","902","11","2020-03-20","20 de março","Depois da facada, não vai ser uma gripezinha que vai me derrubar não, tá ok?","","ts2ClqnHKWA"
"900","1546","25","2020-03-22","22 de março","Brevemente, o povo saberá que foi enganado por estes governadores e por parte da grande mídia nesta questão do coronavírus.","","NKUY8ez5yXQ"
"1000","1546","25","2020-03-22","22 de março","O número de pessoas que morreram de H1N1 no ano passado foram na ordem de 800 pessoas. A previsão é não chegar a essa quantidade de óbitos no tocante ao corona vírus.","","NKUY8ez5yXQ"
"1100","1888","34","2020-03-23","23 de março","Não dá pra ir além do que estamos fazendo.","","b2V4CuM51kQ"
"1200","2197","46","2020-03-24","24 de março","No meu caso particular, pelo meu histórico de atleta, caso fosse contaminado pelo vírus, não precisaria me preocupar.","","Vl_DYb-XaAE"
"1300","2197","46","2020-03-24","24 de março","Nada sentiria, ou seria, quando muito, acometido de uma gripezinha ou resfriadinho, como bem disse aquele conhecido médico, daquela conhecida televisão.","","Vl_DYb-XaAE"
"1400","2915","77","2020-03-26","26 de março","Até porque o brasileiro, tem que ser estudado. Ele não pega nada. Você vê o cara pulando em esgoto ali, sai, mergulha, tá certo? E não acontece nada com ele.","","Q1MGUvHwkTk"
"1500","3417","92","2020-03-27","27 de março","A grande maioria das mortes na Itália não tem nada a ver com o vírus. Foi numa região específica, mais fria. E a idade média dos mortos era de 80 anos, e pessoas com duas, três outras doenças, tá?","","Q8DaRmkkkq8"
"1600","3417","92","2020-03-27","27 de março","Outra [medida] é começar a redirecionar para um isolamento vertical, que o horizontal, temos informações, que não foi a melhor medida tomada por alguns países.","","Q8DaRmkkkq8"
"1700","3417","92","2020-03-27","27 de março","Alguns vão morrer. Vão morrer, ué, lamento. Lamento. Essa é a vida, é a realidade.","","Q8DaRmkkkq8"
"1800","4256","136","2020-03-29","29 de março","O vírus tá aí. Vamos ter que enfrentá-lo, mas enfrentar como homem, porra. Não como um moleque. Vamos enfrentar o vírus com a realidade. É a vida. Todos nós iremos morrer um dia.","https://www.facebook.com/watch/?v=675670036521008",""
"1900","4579","159","2020-03-30","30 de março","Vai morrer gente? Vai!","","FxrL2MaBydg"
"2000","6834","241","2020-04-01","01 de abril","O vírus é igual a uma chuva. Ela vem e você vai se molhar, mas não vai morrer afogado.","","I_GRKK5GGu8"
"2100","7910","299","2020-04-02","02 de abril","Tá com medinho de pegar vírus?","","G0DA7c4mAq4"
"2200","9056","359","2020-04-03","03 de abril","Agora, desses 70%, uma pequena parte, que são os idosos e quem têm problema de saúde, vai ter problemas sérios.","","OIn1EjxiObc"
"2400","19638","1056","2020-04-10","10 de abril","Eu tenho o direito constitucional de ir e vir. Ninguém vai tolher a minha liberdade de ir e vir. Ninguém!","","NjFIbKjYk6U"
"2500","22169","1223","2020-04-12","12 de abril","40 dias depois, parece que está indo embora a questão do vírus.","https://www.cnnbrasil.com.br/politica/2020/04/12/religiosos-relembram-isolamento-em-celebracao-de-pascoa-online-com-bolsonaro",""
"2600","33682","2141","2020-04-17","17 de abril","Abrir o comércio é um risco que eu corro: se agravar, vai cair no meu colo.","","1yZqBvB3HWc"
"2700","40581","2575","2020-04-20","20 de abril","Não sou coveiro, tá certo?","","IrKpqx74BWY"
"2800","40581","2575","2020-04-20","20 de abril","Levaram o pavor para o público, histeria. E não é verdade. Estamos vendo que não é verdade. Lamentamos as mortes, e é a vida. Vai morrer.","https://istoe.com.br/questionado-sobre-mortes-por-coronavirus-bolsonaro-responde-nao-sou-coveiro-ta/",""
"2900","71886","5017","2020-04-28","28 de abril","E daí? Lamento. Quer que eu faça o quê? Eu sou Messias, mas não faço milagres.","","KGACSgIToUk"
"3000","78162","5466","2020-04-29","29 de abril","Não adianta a imprensa colocar na minha conta essas questões, não adianta botar a culpa em mim.","https://www.msn.com/pt-br/noticias/brasil/e-da%C3%AD-causa-rep%C3%BAdio-em-autoridades-bolsonaro-se-esquiva/ar-BB13pEGz",""
"3100","91541","6329","2020-05-01","01 de maio","Eu gostaria que todos voltassem a trabalhar, mas quem decide isso não sou eu, são os governadores e prefeitos.","","_1xNTZ2GZoE"
"3200","96559","6750","2020-05-02","02 de maio","Esse vírus vai pegar mesmo, não tem como fugir.","https://www1.folha.uol.com.br/poder/2020/05/bolsonaro-volta-a-provocar-aglomeracao-apos-pais-ultrapassar-6-mil-mortos-por-coronavirus.shtml",""
"3300","96559","6750","2020-05-02","02 de maio","Desconheço qualquer hospital que esteja lotado, desconheço.","https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2020/04/02/bolsonaro-desconheco-qualquer-hospital-que-esteja-lotado-desconheco.htm",""
"3400","101147","7025","2020-05-03","03 de maio","Essa destruição de empregos irresponsável por parte de alguns governadores é inadmissível.","https://www.facebook.com/jairmessias.bolsonaro/videos/252703235928656/",""
"3500","101147","7025","2020-05-03","03 de maio","Sabemos do efeito do vírus, mas, infelizmente, muitos serão infectados, muitos perderão suas vidas também, mas é uma realidade que temos que enfrentar.","https://www.facebook.com/jairmessias.bolsonaro/videos/252703235928656/",""
"3600","114715","7921","2020-05-05","05 de maio","Eu não sei se hoje caiu o número de mortes, foi menor do que ontem, eu não sei ainda, mas se foi, vai ser o sexto dia, se não me engano, consecutivo de queda no número de mortes. É um sinal de que o pior já passou.","","b44LbWPUflw"
"3700","135106","9146","2020-05-07","07 de maio","Nós temos um bem muito maior até que a própria vida, se me permitem falar isso, que é a nossa liberdade.","https://twitter.com/jnascim/status/1258419527685210117",""
"3800","135106","9146","2020-05-07","07 de maio","Estou cometendo um crime. Vou fazer um churrasco no sábado aqui em casa. Vamos bater um papo, quem sabe uma ‘peladinha’, alguns ministros, alguns servidores mais humildes que estão do meu lado.","https://twitter.com/mvitorodrigues/status/1258551731132096512",""
"3900","145328","9897","2020-05-08","08 de maio","3 mil pessoas no churrasco amanhã.","https://twitter.com/desgovernobolso/status/1258863567333470209",""
"4000","155939","10627","2020-05-09","09 de maio","Isso é uma neurose, 70% vai pegar o vírus. Não tem como. É uma loucura.","https://twitter.com/fatourgente/status/1259241252517810179",""
"4100","162699","11123","2020-05-10","10 de maio","Já que não querem abrir, vou eu abrindo.","https://www.correiobraziliense.com.br/app/noticia/politica/2020/05/10/interna_politica,853363/ja-que-nao-querem-abrir-vou-eu-abrindo-diz-bolsonaro-sobre-decreto.shtml",""
"4200","168331","11519","2020-05-11","11 de maio","A questão da vida tem que ser tratado paralelamente com os empregos. Sem economia não tem vida, não tem médico, não tem material para hospital.","https://economia.uol.com.br/noticias/reuters/2020/05/11/bolsonaro-amplia-de-novo-atividades-essenciais-e-inclui-academias-e-saloes-de-beleza.htm",""
"4300","188974","13149","2020-05-13","13 de maio","Quem não quiser trabalhar, que fique em casa, porra.","https://www.correiobraziliense.com.br/app/noticia/politica/2020/05/13/interna_politica,854347/bolsonaro-quem-nao-quiser-trabalhar-que-fique-em-casa-porra.shtml",""
"4400","202918","13993","2020-05-14","14 de maio","Você pegou um país que está caminhando pro socialismo. [sobre Argentina ter 320 mortes e Brasil 12 mil]","https://twitter.com/HaddadDebochado/status/1260967910396305408",""
